Year,FuPerDay,OpRate,M_Sale,M_Purch,People,Dep,Elec,HW_Opex,Labor,GnA,TotalOpex,PV_Opex,CashFlow,CumuCashFlow
2036,45.545599,69.672819,300079.16,311782.25,1,2.7230861e+008,1.116536e+008,3.8219869e+008,99975131,19995026,2.5672254e+009,1.5819211e+009,3.0076797e+008,-1.0434351e+010
2037,52.101147,79.238373,355434.73,369296.68,1.0854406,2.3442821e+008,1.1500321e+008,3.8372748e+008,1.1166406e+008,22332812,2.820214e+009,1.6629783e+009,4.7806158e+008,-9.9562898e+009
2038,59.866078,90.504609,421675.75,438121.11,1.24721,2.0181729e+008,1.1845331e+008,3.8526239e+008,1.3202686e+008,26405372,3.1332719e+009,1.7680165e+009,6.9074005e+008,-9.2655498e+009
2039,66.554693,100,477941.93,496581.66,1.3865561,1.7374282e+008,1.2200691e+008,3.8680344e+008,1.5103429e+008,30206858,3.3736702e+009,1.8216904e+009,8.912555e+008,-8.3742943e+009
2040,66.975794,100,476860.32,495457.88,1.395329,1.4957375e+008,1.2566711e+008,3.8835066e+008,1.5639761e+008,31279522,3.2772096e+009,1.6934012e+009,9.3998271e+008,-7.4343116e+009
2041,67.410568,100,475743.6,494297.6,1.4043868,1.2876679e+008,1.2943713e+008,3.8990406e+008,1.6197784e+008,32395568,3.1845322e+009,1.5746535e+009,9.8805512e+008,-6.4462565e+009
2042,67.85928,100,474591.07,493100.12,1.413735,1.1085426e+008,1.3332024e+008,3.9146368e+008,1.6778466e+008,33556931,3.0951951e+009,1.4645732e+009,1.0354455e+009,-5.4108109e+009
2043,68.322185,100,473402.09,491864.77,1.4233788,95433506,1.3731985e+008,3.9302953e+008,1.7382815e+008,34765630,3.0088213e+009,1.3623954e+009,1.0821259e+009,-4.328685e+009
2044,68.799527,100,472176.03,490590.9,1.4333235,82157909,1.4143944e+008,3.9460165e+008,1.8011886e+008,36023772,2.9250908e+009,1.2674471e+009,1.1280676e+009,-3.2006175e+009
2045,69.291539,100,470912.29,489277.87,1.4435737,70729059,1.4568263e+008,3.9618006e+008,1.8666776e+008,37333553,2.843733e+009,1.1791336e+009,1.173241e+009,-2.0273765e+009
2046,69.798443,100,469610.3,487925.1,1.4541342,60890057,1.500531e+008,3.9776478e+008,1.934863e+008,38697261,2.7645201e+009,1.0969268e+009,1.217616e+009,-8.0976053e+008
2047,70.320444,100,468269.53,486532.04,1.4650093,3.5762787e-007,1.545547e+008,3.9935584e+008,2.005864e+008,40117279,2.6348409e+009,1.0004514e+009,1.2611616e+009,4.5140106e+008
2048,70.857734,100,466889.49,485098.18,1.4762028,0,1.5919134e+008,4.0095326e+008,2.0798044e+008,41596089,2.5666676e+009,9.32599e+008,1.3038463e+009,1.7552473e+009
2049,71.410486,100,465469.73,483623.05,1.4877185,0,1.6396708e+008,4.0255707e+008,2.1568136e+008,43136271,2.4991423e+009,8.6896046e+008,1.3456377e+009,3.100885e+009
2050,71.978854,100,464009.87,482106.25,1.4995595,0,1.6888609e+008,4.041673e+008,2.2370254e+008,44740508,2.4322982e+009,8.0930002e+008,1.386503e+009,4.4873881e+009
2051,72.562973,100,462509.55,480547.42,1.5117286,0,1.7395267e+008,4.0578397e+008,2.3205794e+008,46411588,2.3661695e+009,7.5339424e+008,1.4264088e+009,5.9137969e+009
2052,73.162957,100,460968.48,478946.25,1.5242283,0,1.7917125e+008,4.0740711e+008,2.4076203e+008,48152405,2.3007915e+009,7.0103131e+008,1.465321e+009,7.3791179e+009
2053,73.778894,100,459386.43,477302.5,1.5370603,0,1.8454639e+008,4.0903673e+008,2.4982981e+008,49965962,2.2362005e+009,6.5201053e+008,1.5032051e+009,8.8823229e+009
2054,74.41085,100,457763.24,475616.01,1.550226,0,1.9008278e+008,4.1067288e+008,2.5927686e+008,51855371,2.1724339e+009,6.0614169e+008,1.540026e+009,1.0422349e+010
